,Country,Localite,Category,Value,Date,Healthcare Quality
15,Guinea,National,Cases,122,3/31/2014,2
20,Guinea,National,Cases,127,4/1/2014,2
33,Guinea,National,Cases,143,4/4/2014,2
48,Guinea,National,Cases,151,4/7/2014,2
50,Liberia,National,Cases,21,4/8/2014,0
53,Liberia,National,Cases,22,4/9/2014,0
56,Guinea,National,Cases,157,4/10/2014,2
68,Liberia,National,Cases,25,4/10/2014,0
79,Guinea,National,Cases,159,4/11/2014,2
94,Liberia,National,Cases,26,4/13/2014,0
99,Guinea,National,Cases,168,4/14/2014,2
113,Guinea,National,Cases,197,4/16/2014,2
128,Liberia,National,Cases,27,4/16/2014,0
145,Guinea,National,Cases,203,4/17/2014,2
148,Liberia,National,Cases,27,4/18/2014,0
163,Guinea,National,Cases,208,4/20/2014,2
166,Liberia,National,Cases,27,4/21/2014,0
181,Guinea,National,Cases,218,4/23/2014,2
196,Liberia,National,Cases,35,4/23/2014,0
201,Liberia,National,Cases,35,4/24/2014,0
216,Guinea,National,Cases,224,4/26/2014,2
231,Guinea,National,Cases,226,5/1/2014,2
238,Liberia,National,Cases,13,5/2/2014,0
254,Guinea,National,Cases,231,5/3/2014,2
269,Guinea,National,Cases,235,5/5/2014,2
284,Guinea,National,Cases,236,5/7/2014,2
290,Liberia,National,Cases,12,5/9/2014,0
306,Guinea,National,Cases,233,5/10/2014,2
321,Guinea,National,Cases,248,5/12/2014,2
336,Guinea,National,Cases,258,5/23/2014,2
363,Guinea,National,Cases,291,5/28/2014,2
376,Sierra Leone,National,Cases,50,5/29/2014,0
393,Guinea,National,Cases,328,6/1/2014,2
412,Sierra Leone,National,Cases,79,6/1/2014,0
418,Liberia,National,Cases,13,6/2/2014,0
436,Guinea,National,Cases,344,6/3/2014,2
457,Guinea,National,Cases,351,6/5/2014,2
462,Sierra Leone,National,Cases,81,6/5/2014,0
465,Sierra Leone,National,Cases,89,6/6/2014,0
471,Liberia,National,Cases,14,6/7/2014,0
477,Liberia,National,Cases,16,6/9/2014,0
482,Liberia,National,Cases,30,6/11/2014,0
490,Liberia,National,Cases,31,6/13/2014,0
510,Guinea,National,Cases,398,6/16/2014,2
521,Liberia,National,Cases,33,6/16/2014,0
532,Sierra Leone,National,Cases,97,6/17/2014,0
555,Guinea,National,Cases,390,6/18/2014,2
566,Liberia,National,Cases,41,6/19/2014,0
577,Sierra Leone,National,Cases,136,6/19/2014,0
600,Guinea,National,Cases,390,6/20/2014,2
611,Sierra Leone,National,Cases,158,6/20/2014,0
624,Liberia,National,Cases,51,6/22/2014,0
635,Liberia,National,Cases,70,6/26/2014,0
656,Guinea,National,Cases,407,6/27/2014,2
661,Guinea,National,Cases,413,6/30/2014,2
664,Liberia,National,Cases,107,6/30/2014,0
667,Sierra Leone,National,Cases,239,6/30/2014,0
670,Guinea,National,Cases,412,7/2/2014,2
673,Liberia,National,Cases,115,7/2/2014,0
676,Sierra Leone,National,Cases,252,7/2/2014,0
679,Guinea,National,Cases,408,7/6/2014,2
682,Liberia,National,Cases,131,7/6/2014,0
685,Sierra Leone,National,Cases,305,7/6/2014,0
688,Guinea,National,Cases,409,7/8/2014,2
691,Liberia,National,Cases,142,7/8/2014,0
694,Sierra Leone,National,Cases,337,7/8/2014,0
697,Guinea,National,Cases,406,7/12/2014,2
700,Liberia,National,Cases,172,7/12/2014,0
703,Sierra Leone,National,Cases,386,7/12/2014,0
706,Guinea,National,Cases,411,7/14/2014,2
709,Liberia,National,Cases,174,7/14/2014,0
712,Sierra Leone,National,Cases,397,7/14/2014,0
715,Guinea,National,Cases,410,7/17/2014,2
718,Liberia,National,Cases,196,7/17/2014,0
721,Sierra Leone,National,Cases,442,7/17/2014,0
